country;country_code;year_week;age_group;new_cases;population;rate_14_day_per_100k;source
Austria;AT;2021-38;15-24yr;1878;941982;446.611506377;TESSy COVID-19
Austria;AT;2021-39;15-24yr;2021;941982;413.9144909351;TESSy COVID-19
Austria;AT;2021-40;15-24yr;2117;941982;439.2865256449;TESSy COVID-19
Austria;AT;2021-41;15-24yr;2465;941982;486.4211842689;TESSy COVID-19
Austria;AT;2021-42;15-24yr;3377;941982;620.1817019858;TESSy COVID-19
Austria;AT;2021-43;15-24yr;5022;941982;891.6306256383;TESSy COVID-19
Austria;AT;2021-44;15-24yr;9289;941982;1519.2434674973;TESSy COVID-19
Austria;AT;2021-45;15-24yr;11755;941982;2234.0129641543;TESSy COVID-19
Austria;AT;2021-46;15-24yr;12246;941982;2547.9255442248;TESSy COVID-19
Austria;AT;2021-47;15-24yr;9195;941982;2276.1581431492;TESSy COVID-19
Austria;AT;2021-48;15-24yr;5746;941982;1586.1237263557;TESSy COVID-19
Austria;AT;2021-49;15-24yr;3518;941982;983.4582826423;TESSy COVID-19
Austria;AT;2021-50;15-24yr;2397;941982;627.9313192821;TESSy COVID-19
Austria;AT;2021-51;15-24yr;2190;941982;486.9519799741;TESSy COVID-19
Austria;AT;2021-52;15-24yr;4416;941982;701.2872857443;TESSy COVID-19
Austria;AT;2022-01;15-24yr;14939;941982;2054.710174929;TESSy COVID-19
Austria;AT;2022-02;15-24yr;21538;941982;3872.3669879042;TESSy COVID-19
Austria;AT;2022-03;15-24yr;27177;941982;5171.5425560149;TESSy COVID-19
Austria;AT;2022-04;15-24yr;32714;941982;6357.9771163356;TESSy COVID-19
Austria;AT;2022-05;15-24yr;33156;941982;6992.7026206446;TESSy COVID-19
Austria;AT;2022-06;15-24yr;31556;941982;6869.7703353143;TESSy COVID-19
Austria;AT;2022-07;15-24yr;29321;941982;6462.6500294061;TESSy COVID-19
Austria;AT;2022-08;15-24yr;26220;941982;5896.1848527891;TESSy COVID-19
Austria;AT;2022-09;15-24yr;29571;941982;5922.7246380504;TESSy COVID-19
Austria;AT;2022-10;15-24yr;50183;941982;8466.6161349155;TESSy COVID-19
Austria;AT;2022-11;15-24yr;45846;941982;10194.3561554255;TESSy COVID-19
Austria;AT;2022-12;15-24yr;31214;941982;8180.6234089399;TESSy COVID-19
Austria;AT;2022-13;15-24yr;17522;941982;5173.7718979768;TESSy COVID-19
Austria;AT;2022-14;15-24yr;10344;941982;2958.2306243644;TESSy COVID-19
Austria;AT;2022-15;15-24yr;6201;941982;1756.4029885921;TESSy COVID-19
Austria;AT;2022-16;15-24yr;5852;941982;1279.5361270173;TESSy COVID-19
Austria;AT;2022-17;15-24yr;4278;941982;1075.3920987875;TESSy COVID-19
Austria;AT;2022-18;15-24yr;3640;941982;840.5680787956;TESSy COVID-19
Austria;AT;2022-19;15-24yr;3094;941982;714.8756557981;TESSy COVID-19
Austria;AT;2022-20;15-24yr;2264;941982;568.80067772;TESSy COVID-19
Austria;AT;2022-21;15-24yr;1665;941982;417.0992651664;TESSy COVID-19
Austria;AT;2022-22;15-24yr;2348;941982;426.0166330142;TESSy COVID-19
Austria;AT;2022-23;15-24yr;2985;941982;566.1466991938;TESSy COVID-19
Austria;AT;2022-24;15-24yr;5284;941982;877.8299373024;TESSy COVID-19
Austria;AT;2022-25;15-24yr;7983;941982;1408.4133242461;TESSy COVID-19
Austria;AT;2022-26;15-24yr;8610;941982;1761.4986273623;TESSy COVID-19
Austria;AT;2022-27;15-24yr;9190;941982;1889.6327106038;TESSy COVID-19
Austria;AT;2022-28;15-24yr;9722;941982;2007.681675446;TESSy COVID-19
Austria;AT;2022-29;15-24yr;8854;941982;1972.0122040549;TESSy COVID-19
Austria;AT;2022-30;15-24yr;5709;941982;1545.9955710406;TESSy COVID-19
Austria;AT;2022-31;15-24yr;4345;941982;1067.324004068;TESSy COVID-19
Austria;AT;2022-32;15-24yr;3961;941982;881.7578255211;TESSy COVID-19
Austria;AT;2022-33;15-24yr;3813;941982;825.2811624851;TESSy COVID-19
Austria;AT;2022-34;15-24yr;3482;941982;774.4309339244;TESSy COVID-19
Austria;AT;2022-35;15-24yr;2754;941982;662.0084035576;TESSy COVID-19
Austria;AT;2022-36;15-24yr;2678;941982;576.6564541573;TESSy COVID-19
Austria;AT;2022-37;15-24yr;3103;941982;613.7059943821;TESSy COVID-19
Austria;AT;2022-38;15-24yr;4395;941982;795.9812395566;TESSy COVID-19
Austria;AT;2022-39;15-24yr;6605;941982;1167.7505514967;TESSy COVID-19
Austria;AT;2022-40;15-24yr;7292;941982;1475.2935831046;TESSy COVID-19
Austria;AT;2022-41;15-24yr;6267;941982;1439.4117934313;TESSy COVID-19
Austria;AT;2022-42;15-24yr;4257;941982;1117.2188003592;TESSy COVID-19
Austria;AT;2022-43;15-24yr;2590;941982;726.8716387362;TESSy COVID-19
Austria;AT;2022-44;15-24yr;2409;941982;530.6895460847;TESSy COVID-19
Austria;AT;2022-45;15-24yr;2148;941982;483.7672057428;TESSy COVID-19
Austria;AT;2022-46;15-24yr;2282;941982;470.2849948301;TESSy COVID-19
Austria;AT;2022-47;15-24yr;2663;941982;524.9569524683;TESSy COVID-19
Austria;AT;2022-48;15-24yr;2957;941982;596.6143726738;TESSy COVID-19
Austria;AT;2022-49;15-24yr;2767;941982;607.6549233425;TESSy COVID-19
Austria;AT;2022-50;15-24yr;2870;941982;598.4190780716;TESSy COVID-19
Austria;AT;2022-51;15-24yr;2454;941982;565.1912669244;TESSy COVID-19
Austria;AT;2022-52;15-24yr;1590;941982;429.3075663866;TESSy COVID-19
