age;Time;val
70-80;Year 2021 Week 18;30
80-;Year 2021 Week 18;20
All ages;Year 2021 Week 18;1502
00-10;Year 2021 Week 19;167
10-20;Year 2021 Week 19;250
20-30;Year 2021 Week 19;270
30-40;Year 2021 Week 19;246
40-50;Year 2021 Week 19;213
50-60;Year 2021 Week 19;149
60-70;Year 2021 Week 19;67
70-80;Year 2021 Week 19;40
80-;Year 2021 Week 19;29
All ages;Year 2021 Week 19;1431
00-10;Year 2021 Week 20;163
10-20;Year 2021 Week 20;209
20-30;Year 2021 Week 20;200
30-40;Year 2021 Week 20;252
40-50;Year 2021 Week 20;227
50-60;Year 2021 Week 20;132
60-70;Year 2021 Week 20;72
70-80;Year 2021 Week 20;43
80-;Year 2021 Week 20;21
All ages;Year 2021 Week 20;1319
00-10;Year 2021 Week 21;119
10-20;Year 2021 Week 21;148
20-30;Year 2021 Week 21;158
30-40;Year 2021 Week 21;178
40-50;Year 2021 Week 21;127
50-60;Year 2021 Week 21;87
60-70;Year 2021 Week 21;43
70-80;Year 2021 Week 21;24
80-;Year 2021 Week 21;6
All ages;Year 2021 Week 21;890
00-10;Year 2021 Week 22;96
10-20;Year 2021 Week 22;93
20-30;Year 2021 Week 22;136
30-40;Year 2021 Week 22;176
40-50;Year 2021 Week 22;102
50-60;Year 2021 Week 22;75
60-70;Year 2021 Week 22;31
70-80;Year 2021 Week 22;11
80-;Year 2021 Week 22;6
All ages;Year 2021 Week 22;726
00-10;Year 2021 Week 23;55
10-20;Year 2021 Week 23;95
20-30;Year 2021 Week 23;134
30-40;Year 2021 Week 23;114
40-50;Year 2021 Week 23;84
50-60;Year 2021 Week 23;45
60-70;Year 2021 Week 23;21
70-80;Year 2021 Week 23;10
80-;Year 2021 Week 23;0
All ages;Year 2021 Week 23;559
00-10;Year 2021 Week 24;38
10-20;Year 2021 Week 24;80
20-30;Year 2021 Week 24;112
30-40;Year 2021 Week 24;133
40-50;Year 2021 Week 24;91
50-60;Year 2021 Week 24;36
60-70;Year 2021 Week 24;36
70-80;Year 2021 Week 24;14
80-;Year 2021 Week 24;0
All ages;Year 2021 Week 24;543
00-10;Year 2021 Week 25;45
10-20;Year 2021 Week 25;102
20-30;Year 2021 Week 25;338
30-40;Year 2021 Week 25;205
40-50;Year 2021 Week 25;152
50-60;Year 2021 Week 25;74
60-70;Year 2021 Week 25;41
70-80;Year 2021 Week 25;12
80-;Year 2021 Week 25;0
All ages;Year 2021 Week 25;971
00-10;Year 2021 Week 26;70
10-20;Year 2021 Week 26;166
20-30;Year 2021 Week 26;473
30-40;Year 2021 Week 26;206
40-50;Year 2021 Week 26;156
50-60;Year 2021 Week 26;146
60-70;Year 2021 Week 26;52
70-80;Year 2021 Week 26;22
80-;Year 2021 Week 26;0
All ages;Year 2021 Week 26;1293
00-10;Year 2021 Week 27;100
10-20;Year 2021 Week 27;425
20-30;Year 2021 Week 27;511
30-40;Year 2021 Week 27;230
40-50;Year 2021 Week 27;196
50-60;Year 2021 Week 27;153
60-70;Year 2021 Week 27;54
70-80;Year 2021 Week 27;23
80-;Year 2021 Week 27;0
All ages;Year 2021 Week 27;1696
00-10;Year 2021 Week 28;121
10-20;Year 2021 Week 28;495
20-30;Year 2021 Week 28;808
30-40;Year 2021 Week 28;313
40-50;Year 2021 Week 28;235
50-60;Year 2021 Week 28;177
60-70;Year 2021 Week 28;68
70-80;Year 2021 Week 28;13
80-;Year 2021 Week 28;10
All ages;Year 2021 Week 28;2240
00-10;Year 2021 Week 29;190
10-20;Year 2021 Week 29;536
20-30;Year 2021 Week 29;1020
30-40;Year 2021 Week 29;527
40-50;Year 2021 Week 29;300
50-60;Year 2021 Week 29;231
60-70;Year 2021 Week 29;85
70-80;Year 2021 Week 29;22
80-;Year 2021 Week 29;13
All ages;Year 2021 Week 29;2924
00-10;Year 2021 Week 30;313
10-20;Year 2021 Week 30;795
20-30;Year 2021 Week 30;1488
